exercise_id,exercise_name_he,location,level,borrowed_from_method,borrowed_from_location
3O5BDlJVD34kjYm3Emo8,דדליפט רגל אחת,home,4,דדליפט רגל אחת בפארק,park
3gE45P8fG6iXVuZ48QGk,שכיבות סמיכה טווח תחתון,home,4,שכיבות סמיכה טווח תחתון בפארק,park
CHnLZy3KK4iQ1MAe4kRs,לאנג׳ בהצלבה,home,4,לאנג׳ בהצלבה בפארק,park
CYEuO2uRt1QBCr5e2khC,כפיפת ברך כנגד גומייה,home,4,כפיפת ברך כנגד גומייה בפארק,park
IZ97XR6J6vBuzFDjQH6r,שכיבות סמיכה טווח עליון,home,4,שכיבות סמיכה טווח עליון בפארק,park
MbvciviT7WaVagimUNBo,שכיבות סמיכה ב-15°,home,4,שכיבות סמיכה ב-15° על מדרגה בפארק,park
Mk130cdYXAUnMR3GHN81,סקוואט עמוק,home,4,סקוואט עמוק בפארק,park
PMZewv23o1W4ZP01jo95,הרמות רגל אחת בישיבת L,home,4,הרמות רגל אחת בישיבת L בפארק,park
iH5gqfgf5ggghCVOGbTc,לאנג׳ בולגרי טווח חלקי,home,4,לאנג׳ בולגרי טווח חלקי בפארק,park
ntLPe0FyD3clX017E2jZ,שכיבות סמיכה אקצנרטי,home,4,שכיבות סמיכה אקצנטרי בפארק,park
pJdp23bQz6WRrkiPz3H2,חתירות ב-15° עם ברכיים כפופות,home,4,חתירות ב-15° ברכיים כפופות באמצעות רצועות trx מתכווננות,park
pJdp23bQz6WRrkiPz3H2,חתירות ב-15° עם ברכיים כפופות,home,4,חתירות ב-15° ברכיים כפופות באמצעות רצועות trx מתכווננות,park
pJdp23bQz6WRrkiPz3H2,חתירות ב-15° עם ברכיים כפופות,home,4,חתירות ב-15° ברכיים כפופות באמצעות רצועות trx מתכווננות,park
vVTTFbDP1LffViDAQfHn,כפיפת ירך על הגבהה,home,4,כפיפת ירך על הגבהה בפארק,park
wIr3N5DkO5epyd52sO2v,סומו סקוואט,home,4,סומו סקוואט בפארק,park
01HnnltgrzYyUMECUELx,דדליפט רגל אחת כנגד גומייה,home,5,דדליפט רגל אחת כנגד גומייה בפארק,park
8YpK2KnydcB6Oz1zTMSh,פלאנק רגל ויד נגדית,home,5,פלאנק רגל ויד נגדית בפארק,park
A6ktP57z5Pvp3XkS6vGQ,לאנג׳ בולגרי,home,5,לאנג׳ בולגרי בפארק,park
AgkrcnND86Xdn6O3x3A5,שרימפ סקוואט בעזרת עמוד,home,5,שרימפ סקוואט בעזרת עמוד בפארק,park
GhVf8ZD1uJR40zA9a7LF,מתח שכמות (תלייה אקטיבית פסיבית),home,5,מתח שכמות בפארק,park
Nr5P0Q3N7A0DffKjMVRn,שרימפ סקוואט בלי ידיים טווח חלקי,home,5,שרימפ סקוואט בלי ידיים טווח חלקי בפארק,park
Rrdk6Knl26ESlG1Ok0Pm,קפיצה גובה ברך,home,5,קפיצה גובה ברך בפארק,park
SZqzS51lNqHDjgG0guxA,הרמות תאומים טווח מלא רגל אחת,home,5,הרמות תאומים טווח מלא רגל אחת בפארק,park
T4TOz1GLjfpwU1NQtz3r,שכיבות סמיכה בפישוק,home,5,שכיבות סמיכה פישוק בפארק,park
TXeGlGA7ECHGKQIhlcs7,היפ טראסט מוגבה,home,5,היפ טארסט מוגבה בפארק,park
ecr0mBSRkTq6nQ8RVN91,שכיבות סמיכה,home,5,שכיבות סמיכה בפארק,park
iq5FQ7UX4utmSCVSpPec,גמישות קרסול לעמוד,home,5,גמישות קרסול לעמוד בפארק,park
oLzPZ7rQMdOUgGuVr1os,פשיטת ירך אחורית,home,5,פשיטת ירך אחורית בפארק,park
s8Vik8xmESBfh6HTGmXx,מתח אקצנטרי עם תמיכה,home,5,מתח אקצנטרי עם תמיכה בפארק,park
s8Vik8xmESBfh6HTGmXx,מתח אקצנטרי עם תמיכה,home,5,מתח אקצנטרי עם תמיכה בפארק,park
tqu4x2f4Zb8FUeokI0aL,החזקת מקבילים,home,5,החזקת מקבילים בפארק,park
tqu4x2f4Zb8FUeokI0aL,החזקת מקבילים,home,5,החזקת מקבילים בפארק,park
2Fl1kzroDz81c4gbuKlU,החזקת מתח ב-15°,home,6,החזקת מתח ב-15° בפארק,park
2Fl1kzroDz81c4gbuKlU,החזקת מתח ב-15°,home,6,החזקת מתח ב-15° בפארק,park
8zw8ZEGDv5pgAUHLXyRj,כפיפת נורדיק בירך,home,6,נורדיק מתחילים בפארק,park
C8AORxqqLojlgKhEiekN,שרימפ סקוואט בתמיכת רגל,home,6,שרימפ סקוואט בתמיכת רגל בפארק,park
CFhoMTpjSMjXAlUG4xFw,מתח עם גומייה עבה,home,6,מתח עם גומייה עבה בפארק,park
XPaeNXfrRfNl9Ab7Lwy0,פיסטול סקוואט טווח חלקי (להגבהה),home,6,פיסטול סקוואט טווח חלקי (להגבהה) בפארק,park
fuNkwOpFCxk1xLuWGgtW,קפיצה גובה אגן,home,6,קפיצה גובה אגן בפארק,park
g9078RNsKL3NmNYQK5Zx,סקוואט קשתים טווח חלקי,home,6,סקוואט קשתים טווח חלקי בפארק,park
jPzXgBtka83RxOgOy8kQ,החזקת מקבילים ב-120°,home,6,החזקת מקבילים ב-120° בפארק,park
jPzXgBtka83RxOgOy8kQ,החזקת מקבילים ב-120°,home,6,החזקת מקבילים ב-120° בפארק,park
wKGGFlDiIZDukG4MVoHD,החזקת מתח ב-120°,home,6,החזקת מתח ב-120° בפארק,park
wKGGFlDiIZDukG4MVoHD,החזקת מתח ב-120°,home,6,החזקת מתח ב-120° בפארק,park
Ao3amXO9YEBEOSE48RRi,ישיבת L ברכיים כפופות,home,7,ישיבת L ברכיים כפופות בפארק,park
Bkb5i5YfYocKrQILfbY3,החזקת מקבילים ב-15°,home,7,החזקת מקבילים ב-15° בפארק,park
Bkb5i5YfYocKrQILfbY3,החזקת מקבילים ב-15°,home,7,החזקת מקבילים ב-15° בפארק,park
LKNAvIpuj9EtO3wUzFeV,נורדיק אחורי בעזרת גומייה,home,7,נורדיק אחורי בעזרת גומייה בפארק,park
LO3I1YoeYOUtt4AuzWy6,סיסי סקוואט טווח חלקי,home,7,סיסי סקוואט טווח חלקי בפארק,park
OKWZS86a0QZcsdVgtapI,כפיפת ברכיים כנגד טבעות,home,7,כפיפת ברכיים כנגד טבעות בפארק,park
SLYwYGa0S8N7XSzSsTkc,החזקת מתח ב-90°,home,7,החזקת מתח ב-90° בפארק,park
SLYwYGa0S8N7XSzSsTkc,החזקת מתח ב-90°,home,7,החזקת מתח ב-90° בפארק,park
UsdsWvP2QPERD0S0lJVI,מתח עם גומייה בינונית,home,7,מתח עם גומייה בינונית בפארק,park
UsdsWvP2QPERD0S0lJVI,מתח עם גומייה בינונית,home,7,מתח עם גומייה בינונית בפארק,park
VlAlIwnfXNgh9ALF7qIN,עליית מדרגה גובה אגן,home,7,עליית מדרגה גובה אגן בפארק,park
bilfw71EhTkDTSv759sV,החזקת מקבילים ב-90°,home,7,החזקת מקבילים ב-90° בפארק,park
bilfw71EhTkDTSv759sV,החזקת מקבילים ב-90°,home,7,החזקת מקבילים ב-90° בפארק,park
dfhTg6POZm0fp2L5zo6Z,מקבילים עם גומייה בינונית,home,7,מקבילים עם גומייה בינונית בפארק,park
dfhTg6POZm0fp2L5zo6Z,מקבילים עם גומייה בינונית,home,7,מקבילים עם גומייה בינונית בפארק,park
gZqAE68NQJnREu60C88S,שכיבות סמיכה מרפקים צמודים,home,7,שכיבות סמיכה מרפקים צמודים בפארק,park
i9WbX3wse5v1glqbyE9T,מתח טווח עליון,home,7,מתח טווח עליון בפארק,park
i9WbX3wse5v1glqbyE9T,מתח טווח עליון,home,7,מתח טווח עליון בפארק,park
kdBsatNKmG0HIgxsJg9R,שרימפ סקוואט טווח חלקי,home,7,שרימפ סקוואט טווח חלקי בפארק,park
mIEhyPgMAxSryv46CZ2f,פלאנק גבוה טבעות,home,7,פלאנק גבוה טבעות בפארק,park
mr6Eylc9mY4RBFmhts6y,לאנג׳ עמוק,home,7,לאנג׳ עמוק בפארק,park
uw9RwLsBYD9P1Hrw7jN7,החזקת פיסטול סקוואט,home,7,החזקת פיסטול סקוואט בפארק,park
0XUsTtJ7pSclRqgJAqFJ,מקבילים אקצנטרי,home,8,מקבילים אקצנטרי בפארק,park
0XUsTtJ7pSclRqgJAqFJ,מקבילים אקצנטרי,home,8,מקבילים אקצנטרי בפארק,park
515aM5b8UHyAova7I6Lv,קפיצה על רגל אחת גובה ברך,home,8,קפיצה על רגל אחת גובה ברך בפארק,park
68xum7WRurKikYoKPrjB,מתח אקצנטרי,home,8,מתח אקצנטרי בפארק,park
68xum7WRurKikYoKPrjB,מתח אקצנטרי,home,8,מתח אקצנטרי בפארק,park
9BBOvu1SNMzNxgPun8ZH,עמידת פייק,home,8,עמידת פייק בפארק,park
9ZTyLTiFe5TxI2jVbuPZ,מתח טווח תחתון,home,8,מתח טווח תחתון בפארק,park
9ZTyLTiFe5TxI2jVbuPZ,מתח טווח תחתון,home,8,מתח טווח תחתון בפארק,park
CybbIJXFkL7ZxvKkIiQE,שכיבות סמיכה יהלום,home,8,שכיבות סמיכה יהלום בפארק,park
LpsSUoca7b1lQMqU8ZZi,מקבילים טווח עליון,home,8,מקבילים טווח עליון בפארק,park
LpsSUoca7b1lQMqU8ZZi,מקבילים טווח עליון,home,8,מקבילים טווח עליון בפארק,park
hSungsi3vi6nm7rQLHlP,שרימפ סקוואט בלי ידיים,home,8,שרימפ סקוואט בלי ידיים בפארק,park
kgWSXDf5rACGGhcBRtOl,מקבילים טווח תחתון,home,8,מקבילים טווח תחתון בפארק,park
kgWSXDf5rACGGhcBRtOl,מקבילים טווח תחתון,home,8,מקבילים טווח תחתון בפארק,park
mMW69g4YfMnlNGuLQgne,הרמות רגליים בישיבת פייק/L,home,8,הרמות רגליים בישיבת פייק בפארק,park
ngkItZpohyxbqrshlVpk,סקוואט קשתים,home,8,סקוואט קשתים בפארק,park
t3J7gdxcnsVPVi3QGDmH,כפיפת נורדיק בעזרת גומייה,home,8,כפיפת נורדיק בעזרת גומייה בפארק,park
KXt9e7KXCi6teocBmhHR,מקבילים עם גומייה דקה,home,9,מקבילים עם גומייה דקה בפארק,park
KXt9e7KXCi6teocBmhHR,מקבילים עם גומייה דקה,home,9,מקבילים עם גומייה דקה בפארק,park
NMpcI24LATvOiqgyvjKw,סיסי סקוואט בעזרת קיר,home,9,סיסי סקוואט בעזרת קיר בפארק,park
Ox23f2tVbvGoly8Syr3o,פיסטול סקוואט מוגבה,home,9,פיסטול סקוואט מוגבה בפארק,park
ZyLOv94JNxsC3urlqMMw,מתח עם גומייה דקה,home,9,מתח עם גומייה דקה בפארק,park
gEEbTNLGhfAIGMCaDCI9,מתח אקצנטרי עם החזקות,home,9,מתח אקצנטרי עם החזקות בפארק,park
gEEbTNLGhfAIGMCaDCI9,מתח אקצנטרי עם החזקות,home,9,מתח אקצנטרי עם החזקות בפארק,park
o5zRmGuZsYNqMo2GWVLy,שרימפ סקוואט,home,9,שרימפ סקוואט בפארק,park
oIOh1yoQtRmVb3zr3Kf9,עליית כוח בעזרת גומייה,home,9,עליית כוח בעזרת גומייה על מוט בפארק,park
0bUiqoNXseMCAR2IGuKu,שכיבות סמיכה סופינציה,home,10,שכיבות סמיכה סופינציה בפארק,park
2HozkIAOCD401ia4dSrH,שרימפ סקוואט עמוק בלי ידיים,home,10,שרימפ סקוואט עמוק בלי ידיים בפארק,park
4ce7GeLA60a6zxtbDBW1,עליית כוח בעזרת תנופה,home,10,עליית כוח בעזרת תנופה על מוט בפארק,park
5Sex2i0m3X7PE3SicCHk,שכיבות סמיכה שיפוע שלילי,home,10,שכיבות סמיכה שיפוע שלילי בפארק,park
99Zbf5ZwAhb9YBo3uelF,סיסי סקוואט אקצנטרי,home,10,סיסי סקוואט אקצנטרי בפארק,park
BNZ77eaNvZJnt9iwS57O,כפיפת נורדיק טווח חלקי,home,10,כפיפת נורדיק טווח חלקי בפארק,park
ErRjOw4bfgMpMOGox75p,משיכות Y,home,10,משיכות Y באמצעות טבעות אישיות בפארק,park
ErRjOw4bfgMpMOGox75p,משיכות Y,home,10,משיכות Y באמצעות טבעות אישיות בפארק,park
ErRjOw4bfgMpMOGox75p,משיכות Y,home,10,משיכות Y באמצעות טבעות אישיות בפארק,park
FYBDtK6zKGBjaxMNBjJN,משיכות פנים,home,10,משיכות פנים באמצעות רצועות trx קבוע,park
FYBDtK6zKGBjaxMNBjJN,משיכות פנים,home,10,משיכות פנים באמצעות רצועות trx קבוע,park
G9WQ109opm7vPRrnYsHW,מתח סופינציה,home,10,מתח סופינציה בפארק,park
G9WQ109opm7vPRrnYsHW,מתח סופינציה,home,10,מתח סופינציה בפארק,park
GEWFBnyTrhoe4HVon0H0,שכיבות סמיכה מתפרץ,home,10,שכיבות סמיכה מתפרץ בפארק,park
GEWFBnyTrhoe4HVon0H0,שכיבות סמיכה מתפרץ,home,10,שכיבות סמיכה מתפרץ בפארק,park
IEoGYRVKRxjaA0fQZNDw,ישיבת L רגל אחת,home,10,ישיבת L רגל אחת בפארק,park
MV1xme0QqOIXMJ23DogV,החזקת תמיכה על טבעות עם עזרה,home,10,החזקת תמיכה על טבעות עם עזרה בפארק,park
MlOTF9ODoGXmsPkQHUyd,פיסטול סקוואט,home,10,פיסטול סקוואט בפארק,park
OaqZzXOBwfVmdJ99w3iC,עמידת פייק גובה שוק,home,10,עמידת פייק גובה שוק בפארק,park
hSVTgimudJNF5uVF7DfM,מקבילים,home,10,מקבילים בפארק,park
hSVTgimudJNF5uVF7DfM,מקבילים,home,10,מקבילים בפארק,park
hSVTgimudJNF5uVF7DfM,מקבילים,home,10,מקבילים בפארק,park
i5IBSF7eXfN640A6isyM,החזקות מקבילים אקצנטרי,home,10,החזקות מקבילים אקצנטרי בפארק,park
i5IBSF7eXfN640A6isyM,החזקות מקבילים אקצנטרי,home,10,החזקות מקבילים אקצנטרי בפארק,park
saxsXI4s9c1a4CAvi8H0,החזקת תמיכה על טבעות,home,10,החזקת מקבילים על טבעות בפארק,park
wwF4gZrprMN6mcfJWKT9,סקוואט קשתים מוגבה,home,10,סקוואט קשתים מוגבה בפארק,park
V5XuakR2593PChTPgUGP,סיסי סקוואט,home,11,סיסי סקוואט בפארק,park
mDPDDIYx8JEqrwSamDqa,שכיבות סמיכה ספינקס,home,11,שכיבות סמיכה ספינקס בפארק,park
sPASfuHeE1eAFQgHrE5z,מתח,home,11,מתח בפארק,park
sPASfuHeE1eAFQgHrE5z,מתח,home,11,מתח בפארק,park
Ku0VMTQFlcAHLMGJ9i6W,סקין דה קאט אקצנטרי (סיבוב על הטבעות שלילי),home,12,סקין דה קאט אקצנטרי (סיבוב על הטבעות שלילי) בפארק,park
MwH75rBMKq65J9B86yUq,שכיבות סמיכה פייק,home,12,שכיבות סמיכה פייק בפארק,park
NwwlEvJFz8anndYrMrhd,כפיפת נורדיק אקצנטרי,home,12,כפיפת נורדיק אקצנטרי בפארק,park
btdTyf1wUlNJviGkXWRT,חתירות קשתים ב-45°,home,12,חתירות קשתים ב-45° באמצעות רצועות trx רגיל בפארק,park
btdTyf1wUlNJviGkXWRT,חתירות קשתים ב-45°,home,12,חתירות קשתים ב-45° באמצעות רצועות trx רגיל בפארק,park
btdTyf1wUlNJviGkXWRT,חתירות קשתים ב-45°,home,12,חתירות קשתים ב-45° באמצעות רצועות trx רגיל בפארק,park
fIRs3qc4SPVBTrg6sUmC,מתח סופינציה מתפרץ,home,12,מתח סופינציה מתפרץ בפארק,park
tk7WiobxvhIGxqcpU2ab,מקבילים על טבעות בעזרת גומיה דקה,home,12,מקבילים על טבעות בעזרת גומיה דקה בפארק,park
E03CQ89CeVwQlVkjxR0d,הישענות פסודו פלאנץ׳,home,13,הישענות פסודו פלאנץ׳ בפארק,park
PM16d9WoigHe5Z7SDRCt,פשיטת מרפקים למתקדמים,home,13,פשיטת מרפקים למתקדמים בפארק,park
SX7oDYmT5RmKnbxbE6Ju,כפיפת מרפקים במשקל גוף 45°,home,13,כפיפת מרפקים במשקל גוף עם טבעות בפארק,park
UdcGfuqfagFg4g3pB1yt,שכיבות סמיכה קשתים בפישוק,home,13,שכיבות סמיכה קשתים בפישוק בפארק,park
VnLIyB2OtNdPO7Dgl0P6,סקין דה קאט בטאק (סיבוב על הטבעות בטאק),home,13,סקין דה קאט טאק (סיבוב על הטבעות טאק) בפארק,park
WQBYjQxJEc9Y6FWHigTH,עמידת פייק גובה ברך,home,13,עמידת פייק גובה ברך בפארק,park
aSZkQwSZNbaZoPZtxn5q,בק לבר בטאק,home,13,בק לבר בטאק על מוט בפארק,park
aSZkQwSZNbaZoPZtxn5q,בק לבר בטאק,home,13,בק לבר בטאק על מוט בפארק,park
sRdzCXh4FS0CChDzHEX2,כפיפת נורדיק,home,13,כפיפת נורדיק בפארק,park
wQ6ocm6HRKtQ7CFpZI6A,שכיבות סמיכה פייק גובה שוק,home,13,שכיבות סמיכה פייק גובה שוק בפארק,park
xDcrnqdzgPVeoDcDBoxc,חתירות קשתים ב-30°,home,13,חתירות קשתים ב-30° באמצעות רצועות trx רגיל בפארק,park
xDcrnqdzgPVeoDcDBoxc,חתירות קשתים ב-30°,home,13,חתירות קשתים ב-30° באמצעות רצועות trx רגיל בפארק,park
xDcrnqdzgPVeoDcDBoxc,חתירות קשתים ב-30°,home,13,חתירות קשתים ב-30° באמצעות רצועות trx רגיל בפארק,park
7G0s5hR2qyc6tSRZsplm,שכיבות סמיכה פייק גובה ברך,home,14,שכיבות סמיכה פייק גובה ברך בפארק,park
ANvq7ORET7uhLRK4XP6X,הליכות קיר,home,14,הליכות קיר בפארק,park
RPGCJ5BXPpPG21sF3H4y,עמידת ידיים חזה לקיר ב-45°,home,14,עמידת ידיים חזה לקיר ב-45° בפארק,park
nCze4KVY6zUMkzYISWf1,מתח עם החזקות,home,14,מתח עם החזקות בפארק,park
nCze4KVY6zUMkzYISWf1,מתח עם החזקות,home,14,מתח עם החזקות בפארק,park
oFjSRmVT4jDTg3bTfoFg,מקבילים על טבעות,home,14,מקבילים על טבעות בפארק,park
q4o11pc4r1c7tUfCKse5,שכיבות סמיכה קשתים,home,14,שכיבות סמיכה קשתים בפארק,park
r6F53Wm92MuJiDRQsEdp,הרמות פרונט לבר בטאק,home,14,הרמות פרונט לבר בטאק בפארק עם מוט ,park
r6F53Wm92MuJiDRQsEdp,הרמות פרונט לבר בטאק,home,14,הרמות פרונט לבר בטאק בפארק עם מוט ,park
vdsST9Joc5fpZzCgpDbq,פרונט לבר בטאק,home,14,פרונט לבר בטאק בפארק עם מוט ,park
vdsST9Joc5fpZzCgpDbq,פרונט לבר בטאק,home,14,פרונט לבר בטאק בפארק עם מוט ,park
GWXRsgNHry3dgqpTwCWS,פלאנץ׳ בטאק בעזרת גומייה דקה,home,15,פלאנץ׳ בטאק בעזרת גומייה דקה בפארק,park
PVqGiE3xg76Dg0EXUsqZ,עמידת ידיים חזה לקיר,home,15,עמידת ידיים חזה לקיר בפארק,park
SO7k5qh04cKEoZmWbjeW,שכיבות סמיכה פייק גובה אגן,home,15,שכיבות סמיכה פייק גובה אגן בפארק,park
aZPJ8uG279yATHs2mkba,חתירות יד אחת ב-45°,home,15,חתירות חד אחת ב-45° באמצעות רצועות TRX בפארק,park
aZPJ8uG279yATHs2mkba,חתירות יד אחת ב-45°,home,15,חתירות חד אחת ב-45° באמצעות רצועות TRX בפארק,park
aZPJ8uG279yATHs2mkba,חתירות יד אחת ב-45°,home,15,חתירות חד אחת ב-45° באמצעות רצועות TRX בפארק,park
fO2Sk5fpdHBYL239gXLE,כפיפת מרפקים במשקל גוף 30°,home,15,כפיפת מרפקים במשקל גוף עם טבעות בפארק,park
pgF5rdC4szYH0xGDoZWj,פרונט לבר בטאק מתקדם עם גומייה,home,15,פרונט לבר בטאק מתקדם עם גומייה בפארק עם מוט ,park
pgF5rdC4szYH0xGDoZWj,פרונט לבר בטאק מתקדם עם גומייה,home,15,פרונט לבר בטאק מתקדם עם גומייה בפארק עם מוט ,park
862hyZowOu16yxls8MWf,שכיבות סמיכה פייק עמוקות גובה אגן,home,16,שכיבות סמיכה פייק עמוקות גובה אגן בפארק,park
Am5MHd1RothiK0lvlXAF,מתח מכונת כתיבה (Typewriter),home,16,מתח מכונת כתיבה בפארק,park
Am5MHd1RothiK0lvlXAF,מתח מכונת כתיבה (Typewriter),home,16,מתח מכונת כתיבה בפארק,park
HSYxn9dL4d9nUImW3Y7G,לחיצה מישיבת L לפלנאץ׳ בטאק,home,16,לחיצה מישיבת L לפלנאץ׳ בטאק בפארק,park
IHHbt3DABJGof6QxaeVg,פלאנץ׳ בטאק,home,16,פלאנץ׳ בטאק בפארק,park
J1OjYnCc9FkhU0jnlnOC,מתח מתפרץ גבוה,home,16,מתח מתפרץ גבוה בפארק,park
VS3FjnFAgULO96XLMK72,דדליפט הפוך,home,16,דדליפט הפוך בפארק עם מוט ,park
VS3FjnFAgULO96XLMK72,דדליפט הפוך,home,16,דדליפט הפוך בפארק עם מוט ,park
nMuPfFBhXptn5GrRBgFe,מקבילים על מוט,home,16,מקבילים על מוט בפארק,park
s9wsh3t7hrr49oxJK6uI,פרונט לבר בטאק מתקדם,home,16,פרונט לבר בטאק מתקדם בפארק עם מוט ,park
s9wsh3t7hrr49oxJK6uI,פרונט לבר בטאק מתקדם,home,16,פרונט לבר בטאק מתקדם בפארק עם מוט ,park
H9ySMJX46OSm3TgpGn3l,הרמות פרונט לבר בטאק מתקדם,home,17,הרמות פרונט לבר בטאק מתקדם בפארק עם מוט ,park
H9ySMJX46OSm3TgpGn3l,הרמות פרונט לבר בטאק מתקדם,home,17,הרמות פרונט לבר בטאק מתקדם בפארק עם מוט ,park
awTUBO1WaFwllqE2XSwX,פרונט לבר יהלום עם גומייה,home,17,פרונט לבר יהלום עם גומייה בפארק עם מוט ,park
awTUBO1WaFwllqE2XSwX,פרונט לבר יהלום עם גומייה,home,17,פרונט לבר יהלום עם גומייה בפארק עם מוט ,park
USVeZ8mvQNeaconZ9KuG,פרונט לבר יהלום,home,18,פרונט לבר יהלום בפארק עם מוט ,park
USVeZ8mvQNeaconZ9KuG,פרונט לבר יהלום,home,18,פרונט לבר יהלום בפארק עם מוט ,park
